1000 gecs,100 gecs,http://upload.wikimedia.org/wikipedia/en/c/cc/AllTheRightReasons.jpg,1
All Eyez on Me,2Pac,http://upload.wikimedia.org/wikipedia/en/1/16/Alleyezonme.jpg,2
Get Rich or Die Tryin',50 Cent,http://upload.wikimedia.org/wikipedia/en/9/9d/Get_Rich_Or_Die_Tryin%27.JPG,3
The Low End Theory,A Tribe Called Quest,http://upload.wikimedia.org/wikipedia/en/4/42/ATribeCalledQuestTheLowEndtheory.jpg,4
ABBA: The Album,ABBA,http://upload.wikimedia.org/wikipedia/en/2/27/ABBA_-_The_Album_%28Polar%29.jpg,5
Back in Black,AC/DC,http://upload.wikimedia.org/wikipedia/commons/9/92/ACDC_Back_in_Black.png,6
21,Adele,http://upload.wikimedia.org/wikipedia/en/1/1b/Adele_-_21.png,7
Get a Grip,Aerosmith,http://upload.wikimedia.org/wikipedia/en/9/9f/GetAGrip_Aerosmithalbum.jpg,8
Moon Safari,Air,http://upload.wikimedia.org/wikipedia/en/a/ac/Air_-_Moon_Safari.png,9
Jagged Little Pill,Alanis Morissette,http://upload.wikimedia.org/wikipedia/en/4/47/Alanis_Morissette_-_Jagged_Little_Pill.jpg,10
Dirt,Alice in Chains,http://upload.wikimedia.org/wikipedia/en/f/f9/Dirt_%28Alice_in_Chains_album_-_cover_art%29.jpg,11
The Diary of Alicia Keys,Alicia Keys,http://upload.wikimedia.org/wikipedia/en/e/e6/The_Diary_Of_Alicia_Keys_album_cover.jpg,12
Back to Black,Amy Winehouse,http://upload.wikimedia.org/wikipedia/en/6/67/Amy_Winehouse_-_Back_to_Black_%28album%29.png,13
New Blue Sun,André 3000,http://upload.wikimedia.org/wikipedia/en/2/2e/Andr%C3%A9_3000_-_New_Blue_Sun.png,14
I Get Wet,Andrew WK,http://upload.wikimedia.org/wikipedia/en/1/1b/Andrewwet.jpeg,15
My Woman,Angel Olsen,http://upload.wikimedia.org/wikipedia/en/3/30/My_Woman_%28front_cover%29.jpg,16
Merriweather Post Pavilion,Animal Collective,http://upload.wikimedia.org/wikipedia/en/5/5a/Animal_Collective_-_Merriweather_Post_Pavilion.png,17
The Richard D,Aphex Twin,http://upload.wikimedia.org/wikipedia/en/8/88/Whatever_People_Say_I_Am%2C_That%27s_What_I%27m_Not_%282006_Arctic_Monkeys_album%29.jpg,18
Funeral,Arcade Fire,http://upload.wikimedia.org/wikipedia/en/2/25/ArcadeFireFuneralCover.jpg,19
Whatever People Say I Am That's What I'm Not,Arctic Monkeys,http://upload.wikimedia.org/wikipedia/en/8/88/Whatever_People_Say_I_Am%2C_That%27s_What_I%27m_Not_%282006_Arctic_Monkeys_album%29.jpg,20
I Never Loved a Man the Way I Love You,Aretha Franklin,http://upload.wikimedia.org/wikipedia/en/1/15/Aretha_Franklin_%E2%80%93_I_Never_Loved_a_Man_the_Way_I_Love_You.jpg,21
Thank U Next,Ariana Grande,http://upload.wikimedia.org/wikipedia/en/d/dd/Thank_U%2C_Next_album_cover.png,22
Teen Dream,Beach House,http://upload.wikimedia.org/wikipedia/en/b/b2/Beach_House_-_Teen_Dream.png,23
Licensed to Ill,Beastie Boys,http://upload.wikimedia.org/wikipedia/en/6/67/Beastie_Boys_-_Licensed_to_Ill.png,24
Odelay,Beck,http://upload.wikimedia.org/wikipedia/en/f/f4/Odelay.jpg,25
If You're Feeling Sinister,Belle and Sebastian,http://upload.wikimedia.org/wikipedia/en/0/0f/Belle_And_Sebastian_-_If_You%27re_Feeling_Sinister.jpg,26
Lemonade,Beyoncé,http://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png,27
Third/Sister Lovers,Big Star,http://upload.wikimedia.org/wikipedia/en/9/93/Big_Star-3rd.jpg,28
